player,market_value_m,position,current_club_id
Mijat Maric,0.1,Defender,498
Per Mertesacker,1.0,Defender,11
Giuseppe Colucci,0.15,Midfield,2921
Mario Santana,0.025,Attack,252
Stefano Morrone,0.1,Midfield,130
Maurizio Domizzi,0.2,Defender,410
Romeo Castelen,0.25,Attack,1426
Kai Herdling,0.4,Attack,533
Luca Antonini,0.15,Defender,252
Angelo Palombo,0.2,Midfield,1038
Henri Bedimo,0.4,Defender,244
Simone Farelli,0.05,Goalkeeper,12
Charles Takyi,0.025,Midfield,2414
Luciano Zauri,0.1,Defender,2921
Henok Goitom,0.2,Attack,3709
Maurizio Lanzaro,0.05,Defender,142
Mark-Jan Fledderus,0.4,Defender,1304
Georgios Samaras,0.1,Attack,984
Orhan Ak,0.1,Defender,2292
Karel D'Haene,0.1,Defender,3508
Cihan Haspolatli,0.4,Midfield,6890
Gökdeniz Karadeniz,0.05,Attack,2698
Sinan Kaloglu,0.05,Attack,3216
Gabriel Tamas,0.1,Defender,984
Hasan Ücüncü,0.2,Midfield,3216
Gökhan Zan,0.5,Defender,141
Erdinc Yavuz,0.1,Defender,2293
Mehmet Yilmaz,0.2,Attack,19771
Ibrahima Yattara,0.05,Attack,3216
Gino Coutinho,0.2,Goalkeeper,1090
Tuncay Sanli,0.6,Attack,20
Necati Ates,0.1,Attack,6894
Sancak Kaplan,0.4,Defender,10484
Cédric Fauré,0.05,Attack,172
Julien Cardy,0.25,Midfield,855
Thibault Giresse,0.25,Midfield,855
Adem Kocak,0.025,Midfield,2381
Bekir Ozan Has,0.05,Midfield,524
Selcuk Sahin,0.1,Midfield,1467
Filip Daems,0.1,Defender,968
Servet Cetin,0.3,Defender,3216
Semih Sentürk,0.05,Attack,6890
Ali Tandogan,0.05,Defender,589
Serhat Gülpinar,0.075,Midfield,6890
Mustafa Keceli,0.05,Defender,3216
Volkan Demirel,0.1,Goalkeeper,36
Bülent Ertugrul,0.1,Midfield,2292
Hakan Bayraktar,0.1,Midfield,3216
Oguz Daglaroglu,0.1,Goalkeeper,19771
Francesco Magnanelli,0.4,Midfield,6574
Daniele Gastaldello,0.3,Defender,19
Paolo Sammarco,0.075,Midfield,8970
Giorgio Frezzolini,0.05,Goalkeeper,800
Marcos De Paula,0.05,Attack,862
Andrea Barzagli,1.0,Defender,506
Ilker Avcibay,0.05,Goalkeeper,10484
Luciano Figueroa,0.1,Attack,265
Yalcin Ayhan,0.05,Defender,868
Mehmet Nas,0.1,Midfield,2292
Jonas Hofmann,1.5,Midfield,15
Murat Erdogan,0.5,Midfield,3216
Giannis Takidis,0.2,Goalkeeper,6418
Ahmet Sahin,0.025,Goalkeeper,1506
Sabri Sarioglu,0.4,Defender,1467
Aleksandr Ryazantsev,0.05,Midfield,1186
Kaya Tarakci,0.01,Goalkeeper,2293
Ibrahim Toraman,0.9,Defender,2381
Diederik Boer,0.25,Goalkeeper,1269
Senol Can,0.025,Defender,524
Serdar Kulbilge,0.025,Goalkeeper,524
Egemen Korkmaz,0.05,Defender,39722
Kwame Quansah,0.85,Midfield,1304
Steven Reid,0.5,Defender,984
Alan Tate,0.5,Defender,2288
Serkan Balci,0.05,Defender,3216
Ugur Boral,0.25,Midfield,114
Juanma Ortiz,0.05,Defender,16795
Javier Pinola,0.125,Defender,4
Albert Riera,0.3,Midfield,410
Gökhan Ünal,0.05,Attack,20698
Özden Öngün,0.1,Goalkeeper,524
Bekir Irtegün,0.025,Defender,6890
Muhammet Özdin,0.1,Defender,1506
Ömer Erdogan,0.5,Defender,20
Ivica Olic,0.3,Attack,41
Bilal Kisa,0.05,Midfield,19771
Can Arat,0.05,Defender,589
Hossam Ghaly,0.25,Midfield,204
Gaël Clichy,0.1,Defender,6890
Mikel Arteta,2.0,Midfield,11
José Javier Barkero,0.3,Midfield,3368
Xabi Alonso,3.5,Midfield,27
Joseba Llorente,0.8,Attack,331
Joan Capdevila,0.1,Defender,204
