rk,player,nation,pos,squad,comp,age,born,Matches Played,Avg Mins per Match,Goals,Assists,Goals & Assists,Non Penalty Goals,Penalty Kicks Made,Expected Goals,Exp NPG,Progressive Carries,Progressive Passes,Goals p 90,Assists p 90,Tackles attempted,Tackles Won,% Dribbles tackled,Shots blocked,Passes blocked,Interceptions,Clearances,Errors made,Goals Against,Goals against p 90,Saves,Saves %,Clean Sheets,% Clean sheets,% Penalty saves,Passes Completed,Passes Attempted,Pass completion %,Progressive passes distance,% Short pass completed,% Medium passes completed,% Long passes completed,Key passes,1/3,Passes into penalty area,touches_def_pen,Take ons attempted,% Successful take-ons,Times tackled during take-on,carries_prgc,carries final 3rd,carries penalty area,Possessions lost,Goals Scored,Total Shots,% Shots on target,Shots p 90,Goals per shot,Goals per shot on target,% Aerial Duels won,Shot creating actions p 90,Goal creating actions p 90,Crosses Stopped,season
765,Nikola Dovedan,Austria,MF,Heidenheim,Bundesliga,29,1994,21,656,3,1,4,3,0,1.9,1.9,12,22,0.41,0.14,14,9,20.0,0,9,1,3,0,0,0,0,0,0,0,0,125,204,61.3,589,71.4,72.5,37.0,8,12,3,3,23,34.8,56.5,12,11,4,15,3,14,35.7,0.69,0.21,0.60,19.4,3.17,0.41,0,2023-2024
766,Damion Downs,United States,FW,Köln,Bundesliga,19,2004,10,181,2,0,2,2,0,1.0,1.0,1,0,0.99,0.00,1,1,50.0,0,1,0,1,0,0,0,0,0,0,0,0,24,36,66.7,48,77.8,60.0,75.0,0,0,1,1,4,25.0,75.0,1,1,1,1,2,5,40.0,0.99,0.40,1.00,14.3,1.99,0.00,0,2023-2024
767,Tommy Doyle,England,MF,Wolves,Premier League,21,2001,26,1222,0,0,0,0,0,0.4,0.4,21,81,0.00,0.00,26,13,60.9,9,13,12,18,0,0,0,0,0,0,0,0,801,955,83.9,4208,93.4,90.5,59.6,8,86,7,40,3,33.3,33.3,21,17,2,7,0,14,21.4,0.22,0.00,0.00,0.0,1.91,0.37,0,2023-2024
768,Radu Drăgușin,Romania,DF,Tottenham,Premier League,21,2002,9,429,0,0,0,0,0,0.1,0.1,5,8,0.00,0.00,5,3,100.0,4,1,8,19,0,0,0,0,0,0,0,0,326,370,88.1,1782,87.8,93.4,50.0,0,10,0,44,3,33.3,33.3,5,2,1,1,0,1,0.0,0.00,0.00,0,60.0,0.21,0.00,0,2023-2024
769,Radu Drăgușin,Romania,DF,Genoa,Serie A,21,2002,19,1710,2,1,3,2,0,1.0,1.0,6,29,0.11,0.05,16,11,88.9,12,6,21,87,3,0,0,0,0,0,0,0,592,721,82.1,3372,86.3,89.8,49.4,7,22,2,173,1,0.0,100.0,6,6,1,4,2,17,23.5,0.21,0.12,0.50,69.9,0.63,0.05,0,2023-2024
770,Dion Drena Beljo,Croatia,FW,Augsburg,Bundesliga,21,2002,26,581,2,0,2,2,0,3.0,3.0,16,20,0.31,0.00,0,0,0.0,1,7,1,4,0,0,0,0,0,0,0,0,115,160,71.9,335,71.4,79.7,66.7,8,5,8,5,24,45.8,41.7,16,13,6,5,2,19,36.8,1.08,0.11,0.29,54.5,3.25,0.46,0,2023-2024
771,Tim Drexler,Germany,DF,Hoffenheim,Bundesliga,18,2005,8,573,0,0,0,0,0,0.0,0.0,6,12,0.00,0.00,16,9,47.1,8,4,8,14,0,0,0,0,0,0,0,0,315,349,90.3,1532,94.0,95.3,50.0,1,14,0,35,5,20.0,60.0,6,2,0,1,0,0,0,0.00,0,0,17.6,0.79,0.47,0,2023-2024
772,Domingos Duarte,Portugal,DF,Getafe,La Liga,28,1995,15,907,0,0,0,0,0,0.3,0.3,7,47,0.00,0.00,7,4,71.4,5,2,8,27,0,0,0,0,0,0,0,0,294,380,77.4,2583,77.0,83.6,69.4,2,40,1,45,3,33.3,33.3,7,1,0,2,0,1,0.0,0.00,0.00,0,58.3,0.40,0.00,0,2023-2024
773,Rubén Duarte,Spain,DF,Alavés,La Liga,27,1995,28,1878,2,1,3,2,0,0.7,0.7,16,81,0.10,0.05,39,20,67.7,6,15,23,69,0,0,0,0,0,0,0,0,566,827,68.4,5341,86.3,76.7,40.4,17,58,15,88,5,60.0,20.0,16,15,2,4,2,15,33.3,0.24,0.13,0.40,50.9,1.54,0.10,0,2023-2024
774,Martin Dúbravka,Slovakia,GK,Newcastle Utd,Premier League,34,1989,23,1985,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,0,0,0.0,0,0,0,8,1,42,1.90,87,70.8,5,22.7,20.0,519,651,79.7,6941,98.5,98.2,47.0,1,1,0,604,0,0,0,0,0,0,0,0,0,0,0.00,0,0,100.0,0.00,0.00,6.8,2023-2024
775,Marvin Ducksch,Germany,FW,Werder Bremen,Bundesliga,29,1994,33,2696,12,9,21,7,5,12.8,7.9,17,88,0.40,0.30,8,3,42.9,0,2,4,25,0,0,0,0,0,0,0,0,566,950,59.6,3256,75.8,61.3,41.4,58,41,30,25,28,42.9,57.1,17,20,7,17,12,74,43.2,1.07,0.09,0.22,33.3,3.64,0.47,0,2023-2024
776,Ondrej Duda,Slovakia,MF,Hellas Verona,Serie A,28,1994,32,2456,1,4,5,1,0,2.2,1.4,34,117,0.04,0.15,59,39,59.6,12,17,26,21,0,0,0,0,0,0,0,0,906,1209,74.9,5504,86.1,80.7,54.4,53,118,21,52,38,55.3,34.2,34,29,6,24,1,23,26.1,0.22,0.04,0.17,26.9,3.41,0.33,0,2023-2024
777,Denzel Dumfries,Netherlands,DF,Inter,Serie A,27,1996,31,1639,4,4,8,4,0,2.3,2.3,50,51,0.22,0.22,22,13,39.1,6,9,12,33,1,0,0,0,0,0,0,0,614,801,76.7,2925,83.2,79.1,58.6,27,34,29,32,33,42.4,36.4,50,19,11,9,4,24,25.0,0.33,0.17,0.67,66.7,2.59,0.44,0,2023-2024
778,Paul Dummett,Wales,DF,Newcastle Utd,Premier League,31,1991,5,20,0,0,0,0,0,0.0,0.0,1,1,0.00,0.00,1,0,100.0,0,0,0,1,0,0,0,0,0,0,0,0,21,23,91.3,76,100.0,91.7,0.0,0,2,0,3,0,0,0,1,0,0,0,0,1,0.0,0.00,0.00,0,100.0,0.00,0.00,0,2023-2024
779,Alfred Duncan,Ghana,MF,Fiorentina,Serie A,30,1993,30,1888,2,5,7,2,0,1.5,1.5,23,133,0.10,0.24,35,22,42.9,5,22,11,13,0,0,0,0,0,0,0,0,800,1030,77.7,4534,85.4,87.5,59.4,36,101,26,26,40,50.0,40.0,23,26,3,19,2,23,26.1,0.29,0.09,0.33,50.0,2.86,0.48,0,2023-2024
780,Lewis Dunk,England,DF,Brighton,Premier League,31,1991,33,2869,3,1,4,3,0,3.1,3.1,33,152,0.09,0.03,27,14,36.1,37,12,31,90,1,0,0,0,0,0,0,0,2977,3233,92.1,19478,97.2,94.6,63.5,13,204,8,554,8,62.5,25.0,33,18,2,2,3,33,36.4,0.38,0.09,0.25,64.0,1.51,0.22,0,2023-2024
783,Hugo Duro,Spain,FW,Valencia,La Liga,23,1999,37,2976,13,2,15,13,0,11.5,11.5,27,34,0.39,0.06,16,8,31.0,5,19,5,27,0,0,0,0,0,0,0,0,406,570,71.2,712,80.4,71.5,46.7,14,19,4,36,41,31.7,53.7,27,20,13,38,13,66,43.9,0.88,0.20,0.45,31.7,1.48,0.27,0,2023-2024
784,Jean-Kevin Duverne,Haiti,DF,Nantes,Ligue 1,26,1997,19,1348,0,0,0,0,0,0.3,0.3,18,64,0.00,0.00,37,19,40.9,5,12,18,34,0,0,0,0,0,0,0,0,597,743,80.3,4272,90.4,83.5,50.0,3,45,8,53,15,60.0,40.0,18,28,1,8,0,4,25.0,0.07,0.00,0.00,50.0,0.80,0.00,0,2023-2024
785,Paulo Dybala,Argentina,FW,Roma,Serie A,29,1993,28,1959,13,9,22,6,7,10.6,5.1,79,122,0.60,0.41,22,13,11.1,0,12,3,6,1,0,0,0,0,0,0,0,790,1000,79.0,3000,88.7,82.4,57.1,50,67,37,8,77,36.4,55.8,79,61,31,41,13,52,30.8,0.74,0.12,0.38,25.0,4.36,0.87,0,2023-2024
786,Aron Dønnum,Norway,FW,Toulouse,Ligue 1,25,1998,27,1595,0,1,1,0,0,1.0,1.0,69,66,0.00,0.06,16,10,31.8,0,13,8,16,1,0,0,0,0,0,0,0,428,571,75.0,2129,82.0,78.2,62.8,24,36,23,19,74,41.9,45.9,69,37,21,23,0,21,42.9,0.51,0.00,0.00,31.6,2.99,0.23,0,2023-2024
788,Simon Ebonog,Cameroon,MF,Le Havre,Ligue 1,18,2004,4,20,0,0,0,0,0,0.0,0.0,0,1,0.00,0.00,1,1,100.0,1,0,0,1,0,0,0,0,0,0,0,0,17,21,81.0,60,83.3,85.7,50.0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0.00,0,0,100.0,0.00,0.00,0,2023-2024
789,Festy Ebosele,Ireland,DF,Udinese,Serie A,20,2002,31,1700,0,0,0,0,0,0.8,0.8,67,35,0.00,0.00,33,20,60.0,2,31,10,27,0,0,0,0,0,0,0,0,278,419,66.3,1636,76.9,65.8,52.9,15,22,11,35,108,45.4,34.3,67,45,30,34,0,16,31.3,0.26,0.00,0.00,47.1,2.91,0.21,0,2023-2024
790,Enzo Ebosse,Cameroon,DF,Udinese,Serie A,24,1999,1,8,0,0,0,0,0,0.0,0.0,0,1,0.00,0.00,1,1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,12,15,80.0,57,100.0,77.8,50.0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,11.25,0.00,0,2023-2024
791,Tyronne Ebuehi,Nigeria,DF,Empoli,Serie A,27,1995,15,1099,0,1,1,0,0,0.3,0.3,34,37,0.00,0.08,14,9,63.6,4,5,6,27,1,0,0,0,0,0,0,0,426,570,74.7,2586,89.6,74.1,43.9,11,22,9,44,13,30.8,53.8,34,14,6,4,0,5,20.0,0.08,0.00,0.00,30.8,1.39,0.08,0,2023-2024
792,Ederson,Brazil,GK,Manchester City,Premier League,29,1993,33,2785,0,0,0,0,0,0.0,0.0,0,4,0.00,0.00,0,0,0.0,0,0,0,10,1,27,0.87,56,70.7,10,30.3,0.0,1077,1234,87.3,17578,99.6,98.2,62.7,1,25,1,965,1,100.0,0.0,0,0,0,0,0,0,0,0.00,0,0,100.0,0.23,0.06,10.1,2023-2024
793,Éderson,Brazil,MF,Atalanta,Serie A,24,1999,36,2869,6,1,7,6,0,3.5,3.5,32,214,0.19,0.03,83,49,69.8,8,40,41,33,1,0,0,0,0,0,0,0,1390,1662,83.6,8622,86.9,90.6,68.1,18,180,40,80,42,52.4,42.9,32,26,7,36,6,38,28.9,0.35,0.16,0.55,58.3,2.23,0.19,0,2023-2024
794,Odsonne Édouard,France,FW,Crystal Palace,Premier League,25,1998,30,1555,7,0,7,7,0,6.2,6.2,33,36,0.41,0.00,24,12,21.1,1,16,6,19,0,0,0,0,0,0,0,0,249,350,71.1,704,79.2,76.3,63.6,18,12,15,18,50,38.0,48.0,33,18,25,26,7,51,37.3,1.10,0.14,0.37,35.7,2.60,0.12,0,2023-2024
795,John Egan,Ireland,DF,Sheffield Utd,Premier League,30,1992,6,482,0,0,0,0,0,0.2,0.2,0,5,0.00,0.00,6,4,36.4,4,6,13,39,1,0,0,0,0,0,0,0,128,185,69.2,988,77.6,85.9,23.7,0,5,1,58,0,0,0,0,2,0,1,0,3,33.3,0.19,0.00,0.00,63.6,0.19,0.00,0,2023-2024
796,Maximilian Eggestein,Germany,MF,Freiburg,Bundesliga,26,1996,33,2914,1,2,3,1,0,2.4,2.4,42,162,0.03,0.06,49,24,41.7,19,34,28,40,1,0,0,0,0,0,0,0,1080,1330,81.2,5068,86.4,88.5,67.1,25,103,20,71,37,54.1,37.8,42,41,3,19,1,39,20.5,0.25,0.03,0.13,54.3,2.29,0.09,0,2023-2024
797,Lilian Egloff,Germany,MF,Stuttgart,Bundesliga,20,2002,5,106,0,0,0,0,0,0.2,0.2,2,2,0.00,0.00,4,1,50.0,1,2,1,0,0,0,0,0,0,0,0,0,32,41,78.0,131,94.1,73.3,50.0,0,2,0,2,2,0.0,50.0,2,3,0,1,0,3,0.0,0.00,0.00,0,0,0.00,0.00,0,2023-2024
798,Kingsley Ehizibue,Netherlands,DF,Udinese,Serie A,28,1995,23,955,0,1,1,0,0,1.3,1.3,18,15,0.00,0.09,22,14,61.1,3,18,8,36,0,0,0,0,0,0,0,0,175,257,68.1,928,84.0,67.9,44.0,8,10,7,43,21,52.4,28.6,18,10,7,10,0,18,16.7,0.28,0.00,0.00,48.0,2.17,0.19,0,2023-2024
799,Hjalmar Ekdal,Sweden,DF,Burnley,Premier League,24,1998,8,437,0,0,0,0,0,0.1,0.1,5,11,0.00,0.00,4,2,50.0,5,5,6,21,0,0,0,0,0,0,0,0,191,217,88.0,938,93.0,90.8,70.6,1,8,0,36,3,66.7,33.3,5,4,0,1,0,2,50.0,0.21,0.00,0.00,30.8,0.41,0.00,0,2023-2024
801,Hugo Ekitike,France,FW,Eint Frankfurt,Bundesliga,21,2002,14,716,4,2,6,4,0,2.4,2.4,16,9,0.50,0.25,11,7,66.7,0,10,2,4,0,0,0,0,0,0,0,0,131,193,67.9,348,70.0,77.6,84.6,12,13,3,2,39,46.2,48.7,16,9,9,13,4,30,30.0,1.13,0.13,0.44,34.1,3.52,0.50,0,2023-2024
803,Caleb Ekuban,Ghana,FW,Genoa,Serie A,29,1994,29,1131,4,1,5,4,0,2.9,2.9,14,15,0.32,0.08,8,4,55.6,3,8,1,7,0,0,0,0,0,0,0,0,138,211,65.4,476,79.2,59.6,62.5,16,8,6,10,22,45.5,50.0,14,8,9,17,4,27,44.4,0.95,0.15,0.33,49.3,2.79,0.24,0,2023-2024
804,Anthony Elanga,Sweden,FW,Nott'ham Forest,Premier League,21,2002,36,2433,5,9,14,5,0,6.6,6.6,98,49,0.18,0.33,33,19,45.9,2,20,8,20,1,0,0,0,0,0,0,0,498,712,69.9,1569,80.1,67.8,53.6,32,28,24,25,76,36.8,55.3,98,54,42,22,5,54,40.7,0.81,0.09,0.23,31.5,2.59,0.48,0,2023-2024
805,Simon Elisor,France,FW,Metz,Ligue 1,24,1999,14,767,1,0,1,1,0,2.3,1.5,9,14,0.12,0.00,9,2,33.3,1,5,0,9,0,0,0,0,0,0,0,0,111,157,70.7,387,70.9,73.8,75.0,10,11,2,9,18,27.8,66.7,9,8,5,23,1,13,46.2,0.70,0.08,0.17,42.7,2.24,0.12,0,2023-2024
806,Harvey Elliott,England,MF,Liverpool,Premier League,20,2003,34,1352,3,6,9,3,0,2.7,2.7,44,128,0.20,0.40,27,17,32.3,0,27,6,7,0,0,0,0,0,0,0,0,825,986,83.7,3101,92.1,86.1,62.9,37,76,45,8,20,45.0,50.0,44,50,9,9,3,49,32.7,1.07,0.06,0.19,40.9,5.19,0.67,0,2023-2024
807,Elif Elmas,North Macedonia,FW,Napoli,Serie A,23,1999,11,339,2,0,2,2,0,0.5,0.5,14,16,0.53,0.00,4,3,100.0,0,2,2,8,0,0,0,0,0,0,0,0,167,191,87.4,469,95.1,81.3,70.0,6,14,1,7,13,46.2,53.8,14,13,4,7,2,6,100.0,1.59,0.33,0.33,14.3,2.40,0.00,0,2023-2024
808,Elif Elmas,North Macedonia,MF,RB Leipzig,Bundesliga,23,1999,14,266,0,0,0,0,0,0.8,0.8,9,9,0.00,0.00,8,6,75.0,0,5,1,2,0,0,0,0,0,0,0,0,100,120,83.3,291,90.4,93.5,20.0,2,6,2,1,10,50.0,30.0,9,7,4,6,0,10,40.0,1.35,0.00,0.00,0.0,2.36,0.34,0,2023-2024
810,Aritz Elustondo,Spain,DF,Real Sociedad,La Liga,29,1994,15,812,0,1,1,0,0,0.3,0.3,4,31,0.00,0.11,11,7,42.9,10,2,7,26,0,0,0,0,0,0,0,0,402,468,85.9,2576,86.5,91.0,60.5,7,22,0,47,3,66.7,33.3,4,5,1,3,0,7,28.6,0.22,0.00,0.00,69.0,1.44,0.22,0,2023-2024
811,Nico Elvedi,Switzerland,DF,Gladbach,Bundesliga,26,1996,30,2482,2,1,3,2,0,1.6,1.6,37,109,0.07,0.04,33,18,75.0,25,15,43,150,2,0,0,0,0,0,0,0,1500,1690,88.8,8034,90.6,93.9,58.1,3,74,4,289,9,66.7,11.1,37,19,0,4,2,18,33.3,0.22,0.11,0.33,61.0,0.80,0.11,0,2023-2024
812,Adri Embarba,Spain,FW,Almería,La Liga,31,1992,36,2476,3,2,5,2,1,4.3,3.5,94,58,0.11,0.07,55,37,49.1,1,36,15,12,0,0,0,0,0,0,0,0,609,928,65.6,3039,85.6,68.1,38.7,52,40,25,18,119,38.7,54.6,94,55,24,35,3,63,38.1,0.87,0.03,0.08,36.8,3.93,0.29,0,2023-2024
813,Breel Embolo,Switzerland,FW,Monaco,Ligue 1,26,1997,5,182,1,0,1,1,0,0.7,0.7,8,7,0.49,0.00,3,3,25.0,0,1,1,2,0,0,0,0,0,0,0,0,37,46,80.4,152,85.7,76.5,100.0,3,4,2,3,7,57.1,42.9,8,5,6,7,1,6,50.0,1.48,0.17,0.33,11.1,4.95,0.49,0,2023-2024
814,Emanuel Emegha,Netherlands,FW,Strasbourg,Ligue 1,20,2003,28,2078,8,1,9,8,0,10.8,10.0,24,11,0.35,0.04,8,5,44.4,3,10,2,25,0,0,0,0,0,0,0,0,215,294,73.1,378,73.8,76.7,20.0,9,11,2,28,34,29.4,64.7,24,19,13,29,8,47,42.6,0.87,0.17,0.40,33.3,1.21,0.22,0,2023-2024
815,Emerson,Brazil,DF,Tottenham,Premier League,24,1999,22,1161,1,0,1,1,0,0.2,0.2,21,57,0.08,0.00,36,24,48.8,10,13,20,50,1,0,0,0,0,0,0,0,937,1038,90.3,3714,94.8,93.6,71.1,3,42,7,103,21,47.6,28.6,21,19,2,12,1,6,50.0,0.23,0.17,0.33,41.7,1.63,0.23,0,2023-2024
816,Youssef En-Nesyri,Morocco,FW,Sevilla,La Liga,26,1997,33,2570,16,2,18,15,1,10.8,10.0,17,17,0.56,0.07,10,7,0.0,1,8,7,29,1,0,0,0,0,0,0,0,205,318,64.5,471,71.5,68.4,38.5,9,11,5,31,37,29.7,67.6,17,10,11,17,16,72,40.3,1.02,0.21,0.52,42.8,0.77,0.28,0,2023-2024
817,Julio Enciso,Paraguay,MF,Brighton,Premier League,19,2004,12,475,0,2,2,0,0,1.4,1.4,28,21,0.00,0.38,6,2,28.6,0,11,0,3,0,0,0,0,0,0,0,0,132,178,74.2,562,86.5,70.7,75.0,9,12,4,5,29,58.6,24.1,28,20,7,8,0,28,28.6,1.52,0.00,0.00,33.3,4.34,0.38,0,2023-2024
818,Wataru Endo,Japan,MF,Liverpool,Premier League,30,1993,29,1722,1,0,1,1,0,0.5,0.5,10,101,0.05,0.00,48,28,32.8,2,22,20,31,3,0,0,0,0,0,0,0,1157,1315,88.0,5048,92.3,90.3,71.4,16,109,18,48,16,62.5,31.3,10,21,2,22,1,10,30.0,0.16,0.10,0.33,53.4,2.82,0.16,0,2023-2024
819,Arne Engels,Belgium,MF,Augsburg,Bundesliga,19,2003,32,1405,3,2,5,3,0,1.8,1.8,23,52,0.19,0.13,33,18,41.4,1,22,15,21,0,0,0,0,0,0,0,0,394,587,67.1,2583,80.3,76.2,44.2,19,35,17,25,11,54.5,45.5,23,18,4,7,3,20,35.0,0.45,0.15,0.43,38.7,2.56,0.51,0,2023-2024
820,Christian Eriksen,Denmark,MF,Manchester Utd,Premier League,31,1992,22,1141,1,2,3,1,0,1.0,1.0,20,68,0.08,0.16,18,13,36.4,6,11,4,13,0,0,0,0,0,0,0,0,648,805,80.5,2702,88.5,82.7,56.1,27,66,17,27,6,50.0,50.0,20,21,2,14,1,13,30.8,0.32,0.08,0.25,12.5,3.63,0.24,0,2023-2024
821,Martin Erlic,Croatia,DF,Sassuolo,Serie A,25,1998,32,2618,1,0,1,1,0,1.0,1.0,19,78,0.03,0.00,37,22,66.7,16,15,28,128,1,0,0,0,0,0,0,0,972,1214,80.1,7045,86.0,89.2,53.1,0,76,6,196,6,66.7,33.3,19,8,1,0,1,8,37.5,0.10,0.13,0.33,53.4,0.41,0.03,0,2023-2024
822,Gonzalo Escalante,Argentina,MF,Cádiz,La Liga,30,1993,25,1697,1,2,3,1,0,1.9,1.9,4,66,0.05,0.11,39,24,36.4,5,18,26,33,2,0,0,0,0,0,0,0,537,711,75.5,2359,85.4,78.8,51.6,11,60,7,50,7,42.9,57.1,4,9,0,12,1,14,21.4,0.16,0.07,0.33,50.8,1.11,0.11,0,2023-2024
823,Aarón Escandell,Spain,GK,Las Palmas,La Liga,27,1995,2,153,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,0,0,0,0,0,0,1,1,3,1.76,1,25.0,0,0.0,0,64,86,74.4,1172,100.0,100.0,46.2,0,1,0,69,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0.00,0.00,4.2,2023-2024
824,Alfonso Espino,Uruguay,DF,Rayo Vallecano,La Liga,31,1992,31,2507,0,1,1,0,0,1.0,1.0,41,113,0.00,0.04,67,45,36.6,4,22,40,63,0,0,0,0,0,0,0,0,1061,1423,74.6,7831,88.8,78.0,43.4,28,74,25,82,50,48.0,50.0,41,26,10,18,0,18,27.8,0.18,0.00,0.00,33.3,1.94,0.04,0,2023-2024
825,Bernardo Espinosa,Colombia,DF,Girona,La Liga,34,1989,2,2,0,0,0,0,0,0.0,0.0,0,0,0.00,0.00,1,1,100.0,0,0,0,2,0,0,0,0,0,0,0,0,7,8,87.5,46,100.0,100.0,0.0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0.00,0,0,50.0,0.00,0.00,0,2023-2024
826,Maxime Estève,France,DF,Burnley,Premier League,21,2002,16,1309,0,0,0,0,0,0.3,0.3,15,40,0.00,0.00,27,10,56.3,10,11,27,56,0,0,0,0,0,0,0,0,690,821,84.0,2998,89.8,90.6,45.6,1,41,0,158,3,33.3,0.0,15,18,2,3,0,7,0.0,0.00,0.00,0,54.2,0.55,0.07,0,2023-2024
827,Maxime Estève,France,DF,Montpellier,Ligue 1,21,2002,12,995,1,1,2,1,0,0.2,0.2,8,23,0.09,0.09,16,12,66.7,9,4,18,50,0,0,0,0,0,0,0,0,289,369,78.3,1826,84.6,83.0,50.9,5,16,0,79,5,40.0,60.0,8,4,1,1,1,5,40.0,0.18,0.20,0.50,58.1,0.93,0.08,0,2023-2024
828,Oscar Estupiñan,Colombia,FW,Metz,Ligue 1,26,1996,6,260,0,0,0,0,0,0.5,0.5,5,2,0.00,0.00,5,4,50.0,0,2,0,0,0,0,0,0,0,0,0,0,41,61,67.2,74,77.4,61.1,60.0,1,2,1,0,2,50.0,50.0,5,3,0,4,0,6,16.7,0.35,0.00,0.00,50.0,0.69,0.00,0,2023-2024
829,Pervis Estupiñán,Ecuador,DF,Brighton,Premier League,25,1998,19,1243,2,3,5,2,0,1.0,1.0,47,83,0.14,0.22,26,13,46.7,4,10,21,20,0,0,0,0,0,0,0,0,809,962,84.1,3617,91.6,86.3,50.0,26,66,25,56,23,39.1,39.1,47,30,13,6,2,11,54.5,0.43,0.18,0.33,46.2,3.04,0.14,0,2023-2024
831,Jonny Evans,Northern Ireland,DF,Manchester Utd,Premier League,35,1988,23,1392,0,1,1,0,0,0.1,0.1,7,37,0.00,0.06,22,14,57.1,18,7,23,76,0,0,0,0,0,0,0,0,729,832,87.6,3843,92.3,92.0,55.6,6,29,3,185,7,57.1,28.6,7,5,0,3,0,1,0.0,0.00,0.00,0,66.7,0.71,0.13,0,2023-2024
832,Eberechi Eze,England,MF,Crystal Palace,Premier League,25,1998,27,2055,11,4,15,10,1,9.1,8.3,68,93,0.48,0.18,35,17,48.4,2,25,11,6,0,0,0,0,0,0,0,0,700,909,77.0,3226,87.2,84.1,45.5,54,48,45,11,140,49.3,45.7,68,61,43,48,11,82,40.2,1.45,0.12,0.30,33.3,4.82,0.48,0,2023-2024
833,Abde Ezzalzouli,Morocco,FW,Barcelona,La Liga,21,2001,2,68,0,0,0,0,0,0.2,0.2,7,1,0.00,0.00,1,1,0.0,0,1,0,0,0,0,0,0,0,0,0,0,23,37,62.2,83,78.3,50.0,25.0,2,0,2,0,4,50.0,50.0,7,3,4,2,0,4,25.0,1.32,0.00,0.00,33.3,2.65,0.00,0,2023-2024
834,Abde Ezzalzouli,Morocco,FW,Betis,La Liga,21,2001,26,865,1,0,1,1,0,3.0,2.2,57,25,0.10,0.00,17,14,28.6,0,10,5,5,0,0,0,0,0,0,0,0,232,353,65.7,769,77.9,66.2,29.4,4,11,9,7,50,42.0,46.0,57,34,35,31,1,33,24.2,0.83,0.03,0.13,50.0,2.08,0.21,0,2023-2024
835,Giovanni Fabbian,Italy,MF,Bologna,Serie A,20,2003,27,1057,5,2,7,5,0,4.2,4.2,11,17,0.43,0.17,17,10,58.3,2,3,7,11,0,0,0,0,0,0,0,0,225,287,78.4,580,85.6,82.1,45.5,16,14,3,9,24,50.0,45.8,11,10,5,13,5,28,35.7,0.85,0.18,0.50,43.6,1.96,0.17,0,2023-2024
836,Łukasz Fabiański,Poland,GK,West Ham,Premier League,38,1985,10,721,0,0,0,0,0,0.0,0.0,0,1,0.00,0.00,1,0,50.0,0,0,1,4,0,21,2.62,33,66.0,1,14.3,0.0,160,239,66.9,3852,100.0,100.0,47.9,0,8,0,222,0,0,0,0,0,0,0,0,0,0,0.00,0,0,100.0,0.12,0.00,7.0,2023-2024
837,Nicolò Fagioli,Italy,MF,Juventus,Serie A,22,2001,8,437,0,2,2,0,0,0.4,0.4,8,23,0.00,0.41,5,3,42.9,0,3,4,1,0,0,0,0,0,0,0,0,193,223,86.5,776,94.9,89.0,66.7,11,17,6,3,7,42.9,28.6,8,6,1,4,0,6,33.3,0.41,0.00,0.00,100.0,3.29,0.41,0,2023-2024
838,Romain Faivre,France,MF,Bournemouth,Premier League,25,1998,5,41,0,0,0,0,0,0.2,0.2,4,5,0.00,0.00,1,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,19,26,73.1,114,75.0,100.0,33.3,0,2,1,1,7,28.6,42.9,4,4,0,1,0,2,0.0,0.00,0.00,0,0.0,2.20,0.00,0,2023-2024
839,Romain Faivre,France,MF,Lorient,Ligue 1,25,1998,17,1453,5,1,6,5,0,2.8,2.8,68,102,0.31,0.06,13,6,40.0,1,5,7,3,1,0,0,0,0,0,0,0,495,601,82.4,2420,88.3,83.9,48.0,16,53,25,10,93,47.3,46.2,68,48,11,17,5,27,37.0,0.62,0.19,0.50,27.3,2.66,0.37,0,2023-2024
840,Ilhan Fakili,France,MF,Clermont Foot,Ligue 1,17,2006,3,94,0,0,0,0,0,0.2,0.2,2,4,0.00,0.00,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,0,18,23,78.3,90,71.4,77.8,66.7,1,4,0,0,6,16.7,83.3,2,1,2,2,0,4,50.0,1.91,0.00,0.00,0.0,1.91,0.00,0,2023-2024
841,Radamel Falcao,Colombia,FW,Rayo Vallecano,La Liga,37,1986,22,407,1,0,1,0,1,2.7,2.0,7,7,0.22,0.00,7,5,33.3,0,2,3,4,0,0,0,0,0,0,0,0,92,110,83.6,186,87.8,85.7,75.0,4,5,2,4,8,37.5,50.0,7,4,5,12,1,16,37.5,1.33,0.00,0.00,36.8,2.87,0.00,0,2023-2024
842,Wladimiro Falcone,Italy,GK,Lecce,Serie A,28,1995,38,3420,0,0,0,0,0,0.0,0.0,0,1,0.00,0.00,0,0,0,0,1,1,21,2,54,1.42,119,71.7,7,18.4,16.7,778,1145,67.9,14888,98.6,98.1,38.8,1,7,0,1113,0,0,0,0,1,1,0,0,0,0,0.00,0,0,100.0,0.05,0.03,3.8,2023-2024
