player,squad,age,pos,min,gls_per90,ast_per90,xg_per90,xag_per90,sh_per90,sot_per90,prgc_per90,prgp_per90,tkl_per90,int_per90,clr_per90,blk_per90,aer_won_per90,saves_per90,psxg_net_per90,tm_match_name,actual_value_m,contract_years_left,age_clean,league_de Bundesliga,league_eng Premier League,league_es La Liga,league_fr Ligue 1,league_it Serie A,pos_clean_CAM,pos_clean_CB,pos_clean_CDM,pos_clean_CM,pos_clean_FULLBACK,pos_clean_GK,pos_clean_ST,pos_clean_WINGER,pos_clean,league,predicted_value_m,pred_value_low_m,pred_value_high_m,surplus_value_m
Mathys Tel,Tottenham,21.0,MF,2774.0,0.19554363905325445,0.08945081360946748,0.10006009615384617,0.07842548076923077,2.1031342455621305,0.5803901627218936,0.919471153846154,0.811298076923077,0.48677884615384626,0.25795118343195267,0.24338942307692313,0.37860576923076933,0.0,0.0,0.0,Mathys Tel,22.0,5.0,21.0,False,True,False,False,False,True,False,False,False,False,False,False,False,CAM,eng Premier League,25.96,19.58,33.01,3.96
Nahuel Tenaglia,Alavés,30.0,DF,6746.0,0.06873573972066559,0.011169557704608158,0.02457302695013795,0.017871292327373053,0.6521303305998148,0.20620721916199675,0.46912142359354264,1.1504644435746403,1.0722775396423831,1.211467412576731,1.3738555976668034,0.3909345196612855,0.0,0.0,0.0,Nahuel Tenaglia,3.0,3.0,30.0,False,False,True,False,False,False,True,False,False,False,False,False,False,CB,es La Liga,3.67,2.9,10.44,0.67
Casper Tengstedt,Toulouse,26.0,FW,1659.0,0.5505075129648509,0.051859403395239576,0.2748548379947698,0.046673463055715625,1.9187979256238643,0.5185940339523958,1.5039226984619478,1.5039226984619478,0.36301582376667707,0.2074376135809583,1.5039226984619478,0.9334692611143124,0.0,0.0,0.0,Casper Tengstedt,3.5,3.0,26.0,False,False,False,True,False,False,False,False,False,False,False,True,False,ST,fr Ligue 1,7.26,4.32,12.8,3.76
Ramón Terrats,Getafe,25.0,MF,2911.0,0.17535026269702272,0.09260070052539404,0.058909807355516625,0.07171628721541155,1.040280210157618,0.30538528896672495,0.23051663747810855,1.1013572679509631,0.5890980735551663,0.6245621716287215,0.4866462346760069,0.3329684763572679,0.0,0.0,0.0,Ramón Terrats,3.0,3.0,25.0,False,False,True,False,False,False,False,False,True,False,False,False,False,CM,es La Liga,5.16,3.08,24.65,2.16
Florian Thauvin,Lens,33.0,MF,4849.0,0.4158822522676707,0.2144577996024171,0.12476467568030122,0.05853157624507958,2.276096315117366,0.898116088942719,1.4170802669861373,1.386274174225569,0.308060927605682,0.32938822259376777,0.154030463802841,0.43128529864795484,0.0,0.0,0.0,Florian Thauvin,5.0,2.0,33.0,False,False,False,True,False,True,False,False,False,False,False,False,False,CAM,fr Ligue 1,5.66,5.05,11.39,0.66
Arthur Theate,Bologna,26.0,DF,5115.0,0.019883299328126422,0.0,0.03649170229632614,0.015204875956802562,0.8456250243667885,0.276026978908108,0.7602437978401281,2.6000337886132376,0.5473755344448922,1.269022339471598,2.5848289126564348,0.2736877672224461,0.0,0.0,0.0,Arthur Theate,17.0,3.0,26.0,False,False,False,False,True,False,True,False,False,False,False,False,False,CB,it Serie A,19.29,6.31,33.2,2.29
Igor Thiago,Brentford,25.0,FW,3724.0,0.5486276572701674,0.023671751709626508,0.0,0.0,1.9884271436086267,1.0178853235139398,0.0,0.0,0.0,0.2840610205155181,0.0,0.0,0.0,0.0,0.0,Igor Thiago,65.0,5.0,25.0,False,True,False,False,False,False,False,False,False,False,False,True,False,ST,eng Premier League,52.15,27.01,59.33,-12.85
Malick Thiaw,Newcastle,25.0,DF,5221.0,0.07383902609702835,0.0,0.008469770640541486,0.0014116284400902477,0.6156871734855158,0.25843659133959923,0.16939541281082973,1.2563493116803204,0.33879082562165946,0.7655369617412497,1.0728376144685883,0.028232568801804955,0.0,0.0,0.0,Malick Thiaw,45.0,3.0,25.0,False,True,False,False,False,False,True,False,False,False,False,False,False,CB,eng Premier League,42.63,24.16,41.31,-2.37
Jan Thielmann,Köln,24.0,FW,1675.0,0.15893351800554015,0.052977839335180056,0.0,0.0,1.4304016620498614,0.5297783933518005,0.0,0.0,0.0,0.6887119113573407,0.0,0.0,0.0,0.0,0.0,Jan Thielmann,5.0,2.0,24.0,True,False,False,False,False,False,False,False,False,False,False,True,False,ST,de Bundesliga,4.49,2.37,12.6,-0.51
Adrien Thomasson,Rennes,32.0,MF,5672.0,0.11368072939393244,0.29350297407160736,0.07926647222286017,0.0806099717520612,1.3062949268539146,0.3761798681762855,0.4030498587603059,2.0018142985095198,1.209149576280918,0.6066417104930758,0.37617986817628557,0.4433548446363365,0.0,0.0,0.0,Adrien Thomasson,4.0,3.0,32.0,False,False,False,True,False,True,False,False,False,False,False,False,False,CAM,fr Ligue 1,4.62,4.09,18.73,0.62
