Rk,player,Nation,Pos,Squad,league,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Rk_sht,Nation_sht,Pos_sht,Age_sht,Born_sht,90s_sht,Gls_sht,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_sht,PKatt_sht,Matches_sht
206,Lameck Banda,zm ZAM,"FW,MF",Lecce,it Serie A,22,2001,21,17,1350,15.0,2,4,6,2,0,0,5,1,0.13,0.27,0.40,0.13,0.40,Matches,206,zm ZAM,"FW,MF",22,2001,15.0,2,50,23,46.0,3.33,1.53,0.04,0.09,0,0,Matches
209,Mattia Bani,it ITA,DF,Genoa,it Serie A,29,1993,27,27,2306,25.6,2,0,2,2,0,0,9,0,0.08,0.00,0.08,0.08,0.08,Matches,209,it ITA,DF,29,1993,25.6,2,9,5,55.6,0.35,0.20,0.22,0.40,0,0,Matches
210,Léo Baptistão,br BRA,"FW,MF",Almería,es La Liga,30,1992,32,22,1837,20.4,6,0,6,6,0,0,6,1,0.29,0.00,0.29,0.29,0.29,Matches,210,br BRA,"FW,MF",30,1992,20.4,6,48,18,37.5,2.35,0.88,0.13,0.33,0,0,Matches
212,Antonín Barák,cz CZE,"MF,FW",Fiorentina,it Serie A,28,1994,21,8,808,9.0,2,3,5,2,0,0,2,0,0.22,0.33,0.56,0.22,0.56,Matches,212,cz CZE,"MF,FW",28,1994,9.0,2,20,8,40.0,2.23,0.89,0.10,0.25,0,0,Matches
215,Bradley Barcola,fr FRA,"FW,MF",PSG,fr Ligue 1,20,2002,25,18,1370,15.2,4,7,11,4,0,0,3,1,0.26,0.46,0.72,0.26,0.72,Matches,215,fr FRA,"FW,MF",20,2002,15.2,4,31,11,35.5,2.04,0.72,0.13,0.36,0,0,Matches
216,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,22,2000,32,31,2654,29.5,1,2,3,1,0,0,7,1,0.03,0.07,0.10,0.03,0.10,Matches,216,fr FRA,DF,22,2000,29.5,1,15,5,33.3,0.51,0.17,0.07,0.20,0,0,Matches
217,Nicolò Barella,it ITA,MF,Inter,it Serie A,26,1997,37,34,2846,31.6,2,3,5,2,0,0,7,0,0.06,0.09,0.16,0.06,0.16,Matches,217,it ITA,MF,26,1997,31.6,2,41,12,29.3,1.30,0.38,0.05,0.17,0,0,Matches
219,Ross Barkley,eng ENG,MF,Luton Town,eng Premier League,29,1993,32,30,2618,29.1,5,4,9,5,0,0,6,0,0.17,0.14,0.31,0.17,0.31,Matches,219,eng ENG,MF,29,1993,29.1,5,66,19,28.8,2.27,0.65,0.08,0.26,0,0,Matches
221,Harvey Barnes,eng ENG,"FW,MF",Newcastle,eng Premier League,25,1997,21,7,802,8.9,5,3,8,5,0,0,2,0,0.56,0.34,0.90,0.56,0.90,Matches,221,eng ENG,"FW,MF",25,1997,8.9,5,27,12,44.4,3.03,1.35,0.19,0.42,0,0,Matches
222,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,de Bundesliga,23,2000,31,29,2606,29.0,4,1,5,4,0,0,8,0,0.14,0.03,0.17,0.14,0.17,Matches,222,lu LUX,MF,23,2000,29.0,4,38,15,39.5,1.31,0.52,0.11,0.27,0,0,Matches
223,Enzo Barrenechea,ar ARG,MF,Frosinone,it Serie A,22,2001,36,32,2811,31.2,0,1,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,Matches,223,ar ARG,MF,22,2001,31.2,0,20,3,15.0,0.64,0.10,0.00,0.00,0,0,Matches
224,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,es La Liga,21,2001,29,20,1427,15.9,4,1,5,4,0,0,1,0,0.25,0.06,0.32,0.25,0.32,Matches,224,es ESP,"MF,FW",21,2001,15.9,4,37,12,32.4,2.33,0.76,0.11,0.33,0,0,Matches
225,Pablo Barrios,es ESP,MF,Atlético Madrid,es La Liga,20,2003,24,17,1555,17.3,0,1,1,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches,225,es ESP,MF,20,2003,17.3,0,17,7,41.2,0.98,0.41,0.00,0.00,0,0,Matches
228,Federico Baschirotto,it ITA,DF,Lecce,it Serie A,26,1996,37,37,3294,36.6,0,1,1,0,0,0,3,1,0.00,0.03,0.03,0.00,0.03,Matches,228,it ITA,DF,26,1996,36.6,0,18,6,33.3,0.49,0.16,0.00,0.00,0,0,Matches
231,Toma Bašić,hr CRO,MF,Salernitana,it Serie A,26,1996,15,14,1162,12.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,231,hr CRO,MF,26,1996,12.9,0,12,1,8.3,0.93,0.08,0.00,0.00,0,0,Matches
232,Calvin Bassey,ng NGA,DF,Fulham,eng Premier League,23,1999,29,25,2303,25.6,1,0,1,1,0,0,6,1,0.04,0.00,0.04,0.04,0.04,Matches,232,ng NGA,DF,23,1999,25.6,1,5,2,40.0,0.20,0.08,0.20,0.50,0,0,Matches
233,Alessandro Bastoni,it ITA,DF,Inter,it Serie A,24,1999,28,28,2268,25.2,1,3,4,1,0,0,5,0,0.04,0.12,0.16,0.04,0.16,Matches,233,it ITA,DF,24,1999,25.2,1,15,6,40.0,0.60,0.24,0.07,0.17,0,0,Matches
234,Simone Bastoni,it ITA,"MF,DF",Empoli,it Serie A,26,1996,16,9,745,8.3,1,0,1,1,0,0,3,0,0.12,0.00,0.12,0.12,0.12,Matches,234,it ITA,"MF,DF",26,1996,8.3,1,7,1,14.3,0.85,0.12,0.14,1.00,0,0,Matches
235,Augusto Batalla,ar ARG,GK,Granada,es La Liga,27,1996,17,17,1530,17.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,235,ar ARG,GK,27,1996,17.0,0,1,0,0.0,0.06,0.00,0.00,,0,0,Matches
237,Maximilian Bauer,de GER,DF,Augsburg,de Bundesliga,23,2000,14,9,810,9.0,1,0,1,1,0,0,3,0,0.11,0.00,0.11,0.11,0.11,Matches,237,de GER,DF,23,2000,9.0,1,4,1,25.0,0.44,0.11,0.25,1.00,0,0,Matches
239,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,33,1990,34,34,3060,34.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,239,de GER,GK,33,1990,34.0,0,0,0,,0.00,0.00,,,0,0,Matches
240,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,de Bundesliga,23,1999,32,11,1158,12.9,5,1,6,5,0,0,3,0,0.39,0.08,0.47,0.39,0.47,Matches,240,at AUT,"MF,FW",23,1999,12.9,5,31,12,38.7,2.41,0.93,0.16,0.42,0,0,Matches
242,Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,de Bundesliga,29,1994,32,16,1636,18.2,7,5,12,7,0,0,3,0,0.39,0.28,0.66,0.39,0.66,Matches,242,tg TOG,"FW,MF",29,1994,18.2,7,38,14,36.8,2.09,0.77,0.18,0.50,0,0,Matches
244,Adrian Beck,de GER,MF,Heidenheim,de Bundesliga,26,1997,23,11,974,10.8,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,244,de GER,MF,26,1997,10.8,1,12,3,25.0,1.11,0.28,0.08,0.33,0,0,Matches
246,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,de Bundesliga,28,1995,11,7,645,7.2,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,246,sr SUR,"FW,MF",28,1995,7.2,0,16,4,25.0,2.23,0.56,0.00,0.00,0,0,Matches
247,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,es La Liga,28,1995,15,8,771,8.6,2,2,4,2,0,0,1,0,0.23,0.23,0.47,0.23,0.47,Matches,247,sr SUR,"FW,MF",28,1995,8.6,2,21,10,47.6,2.45,1.17,0.10,0.20,0,0,Matches
252,Kevin Behrens,de GER,FW,Wolfsburg,de Bundesliga,32,1991,13,7,616,6.8,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches,252,de GER,FW,32,1991,6.8,1,11,6,54.5,1.61,0.88,0.09,0.17,0,0,Matches
253,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,32,1991,18,14,1262,14.0,4,0,4,4,0,0,3,0,0.29,0.00,0.29,0.29,0.29,Matches,253,de GER,FW,32,1991,14.0,4,41,13,31.7,2.92,0.93,0.10,0.31,0,0,Matches
