Rk,player,Nation,Pos,Squad,league,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Rk_sht,Nation_sht,Pos_sht,Age_sht,Born_sht,90s_sht,Gls_sht,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_sht,PKatt_sht,Matches_sht
1457,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,30,1993,27,22,2002,22.2,0,2,2,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches,1457,es ESP,DF,30,1993,22.2,0,5,0,0.0,0.22,0.00,0.00,,0,0,Matches
1459,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29,1993,35,34,2968,33.0,4,1,5,4,0,0,12,1,0.12,0.03,0.15,0.12,0.15,Matches,1459,ga GAB,MF,29,1993,33.0,4,48,18,37.5,1.46,0.55,0.08,0.22,0,0,Matches
1462,Clément Lenglet,fr FRA,DF,Aston Villa,eng Premier League,28,1995,14,14,1153,12.8,0,1,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,Matches,1462,fr FRA,DF,28,1995,12.8,0,7,2,28.6,0.55,0.16,0.00,0.00,0,0,Matches
1463,Bernd Leno,de GER,GK,Fulham,eng Premier League,31,1992,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,1463,de GER,GK,31,1992,38.0,0,0,0,,0.00,0.00,,,0,0,Matches
1467,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,28,1994,28,27,2400,26.7,1,1,2,1,0,0,8,0,0.04,0.04,0.07,0.04,0.07,Matches,1467,co COL,"MF,DF",28,1994,26.7,1,34,9,26.5,1.27,0.34,0.03,0.11,0,0,Matches
1469,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34,1988,35,32,2750,30.6,19,8,27,15,4,4,5,0,0.62,0.26,0.88,0.49,0.75,Matches,1469,pl POL,FW,34,1988,30.6,19,93,43,46.2,3.04,1.41,0.20,0.44,4,4,Matches
1470,Jamie Leweling,de GER,MF,Stuttgart,de Bundesliga,22,2001,34,17,1523,16.9,4,4,8,4,0,0,3,0,0.24,0.24,0.47,0.24,0.47,Matches,1470,de GER,MF,22,2001,16.9,4,43,22,51.2,2.54,1.30,0.09,0.18,0,0,Matches
1471,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,18,2004,16,8,809,9.0,2,0,2,2,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches,1471,eng ENG,"DF,MF",18,2004,9.0,2,5,4,80.0,0.56,0.44,0.40,0.50,0,0,Matches
1472,Keane Lewis-Potter,eng ENG,"FW,MF",Brentford,eng Premier League,22,2001,30,15,1441,16.0,3,1,4,3,0,0,0,0,0.19,0.06,0.25,0.19,0.25,Matches,1472,eng ENG,"FW,MF",22,2001,16.0,3,43,22,51.2,2.69,1.37,0.07,0.14,0,0,Matches
1473,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,27,1996,15,14,1265,14.1,1,0,1,1,0,0,3,0,0.07,0.00,0.07,0.07,0.07,Matches,1473,at AUT,DF,27,1996,14.1,1,7,3,42.9,0.50,0.21,0.14,0.33,0,0,Matches
1474,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23,1999,22,16,1390,15.4,2,0,2,2,0,0,5,0,0.13,0.00,0.13,0.13,0.13,Matches,1474,nl NED,DF,23,1999,15.4,2,14,7,50.0,0.91,0.45,0.14,0.29,0,0,Matches
1475,Victor Lindelöf,se SWE,DF,Manchester Utd,eng Premier League,29,1994,19,14,1328,14.8,1,1,2,1,0,0,2,0,0.07,0.07,0.14,0.07,0.14,Matches,1475,se SWE,DF,29,1994,14.8,1,6,4,66.7,0.41,0.27,0.17,0.25,0,0,Matches
1478,Karol Linetty,pl POL,MF,Torino,it Serie A,28,1995,28,19,1858,20.6,0,0,0,0,0,0,12,0,0.00,0.00,0.00,0.00,0.00,Matches,1478,pl POL,MF,28,1995,20.6,0,16,1,6.3,0.78,0.05,0.00,0.00,0,0,Matches
1479,Samuel Lino,br BRA,"MF,DF",Atlético Madrid,es La Liga,23,1999,34,25,2080,23.1,4,5,9,4,0,0,1,0,0.17,0.22,0.39,0.17,0.39,Matches,1479,br BRA,"MF,DF",23,1999,23.1,4,54,21,38.9,2.34,0.91,0.07,0.19,0,0,Matches
1481,Pol Lirola,es ESP,"DF,MF",Frosinone,it Serie A,25,1997,25,18,1536,17.1,2,1,3,2,0,0,1,0,0.12,0.06,0.18,0.12,0.18,Matches,1481,es ESP,"DF,MF",25,1997,17.1,2,9,3,33.3,0.53,0.18,0.22,0.67,0,0,Matches
1483,Tino Livramento,eng ENG,DF,Newcastle,eng Premier League,20,2002,26,12,1314,14.6,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,1483,eng ENG,DF,20,2002,14.6,1,4,2,50.0,0.27,0.14,0.25,0.50,0,0,Matches
1484,Dejan Ljubičić,at AUT,MF,Köln,de Bundesliga,25,1997,26,24,2048,22.8,0,2,2,0,0,0,6,0,0.00,0.09,0.09,0.00,0.09,Matches,1484,at AUT,MF,25,1997,22.8,0,38,10,26.3,1.67,0.44,0.00,0.00,0,0,Matches
1486,Diego Llorente,es ESP,DF,Roma,it Serie A,29,1993,29,27,2170,24.1,1,1,2,1,0,0,5,0,0.04,0.04,0.08,0.04,0.08,Matches,1486,es ESP,DF,29,1993,24.1,1,9,4,44.4,0.37,0.17,0.11,0.25,0,0,Matches
1487,Marcos Llorente,es ESP,"MF,DF",Atlético Madrid,es La Liga,28,1995,37,29,2565,28.5,6,4,10,6,0,0,5,0,0.21,0.14,0.35,0.21,0.35,Matches,1487,es ESP,"MF,DF",28,1995,28.5,6,30,19,63.3,1.05,0.67,0.20,0.32,0,0,Matches
1488,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,28,1995,31,31,2778,30.9,2,0,2,2,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches,1488,fr FRA,DF,28,1995,30.9,2,16,5,31.3,0.52,0.16,0.13,0.40,0,0,Matches
1490,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,27,1996,22,4,506,5.6,2,2,4,2,0,0,2,0,0.36,0.36,0.71,0.36,0.71,Matches,1490,ar ARG,MF,27,1996,5.6,2,13,6,46.2,2.31,1.07,0.15,0.33,0,0,Matches
1491,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28,1994,38,38,3282,36.5,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,1491,sk SVK,MF,28,1994,36.5,0,14,4,28.6,0.38,0.11,0.00,0.00,0,0,Matches
1492,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25,1998,36,34,3008,33.4,1,4,5,1,0,0,6,0,0.03,0.12,0.15,0.03,0.15,Matches,1492,it ITA,MF,25,1998,33.4,1,25,3,12.0,0.75,0.09,0.04,0.33,0,0,Matches
1493,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,21,2002,33,33,2959,32.9,0,3,3,0,0,0,5,0,0.00,0.09,0.09,0.00,0.09,Matches,1493,fr FRA,DF,21,2002,32.9,0,12,2,16.7,0.36,0.06,0.00,0.00,0,0,Matches
1494,Tom Lockyer,wls WAL,DF,Luton Town,eng Premier League,28,1994,14,14,1169,13.0,1,1,2,1,0,0,4,0,0.08,0.08,0.15,0.08,0.15,Matches,1494,wls WAL,DF,28,1994,13.0,1,7,1,14.3,0.54,0.08,0.14,1.00,0,0,Matches
1495,Renan Lodi,br BRA,"DF,MF",Marseille,fr Ligue 1,25,1998,14,14,1235,13.7,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,1495,br BRA,"DF,MF",25,1998,13.7,0,6,2,33.3,0.44,0.15,0.00,0.00,0,0,Matches
1496,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,27,1996,29,26,2068,23.0,6,1,7,6,0,0,5,0,0.26,0.04,0.30,0.26,0.30,Matches,1496,eng ENG,MF,27,1996,23.0,6,41,14,34.1,1.78,0.61,0.15,0.43,0,0,Matches
1498,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,22,2000,34,19,1790,19.9,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,1498,fr FRA,MF,22,2000,19.9,0,16,6,37.5,0.80,0.30,0.00,0.00,0,0,Matches
1499,Sean Longstaff,eng ENG,MF,Newcastle,eng Premier League,25,1997,35,30,2747,30.5,6,2,8,6,0,0,7,0,0.20,0.07,0.26,0.20,0.26,Matches,1499,eng ENG,MF,25,1997,30.5,6,41,15,36.6,1.34,0.49,0.15,0.40,0,0,Matches
1500,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25,1997,31,22,1894,21.0,11,7,18,11,0,0,4,0,0.52,0.33,0.86,0.52,0.86,Matches,1500,ng NGA,"FW,MF",25,1997,21.0,11,67,24,35.8,3.18,1.14,0.16,0.46,0,0,Matches
1502,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32,1990,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1502,pt POR,GK,32,1990,31.0,0,0,0,,0.00,0.00,,,0,0,Matches
1503,David López,es ESP,DF,Girona,es La Liga,33,1989,25,25,1965,21.8,3,0,3,3,0,0,4,0,0.14,0.00,0.14,0.14,0.14,Matches,1503,es ESP,DF,33,1989,21.8,3,16,6,37.5,0.73,0.27,0.19,0.50,0,0,Matches
1504,Diego López,es ESP,"MF,FW",Valencia,es La Liga,21,2002,36,30,2656,29.5,3,6,9,3,0,0,2,0,0.10,0.20,0.30,0.10,0.30,Matches,1504,es ESP,"MF,FW",21,2002,29.5,3,41,15,36.6,1.39,0.51,0.07,0.20,0,0,Matches
1505,Fermin López,es ESP,"MF,FW",Barcelona,es La Liga,20,2003,31,14,1446,16.1,8,0,8,8,0,0,2,0,0.50,0.00,0.50,0.50,0.50,Matches,1505,es ESP,"MF,FW",20,2003,16.1,8,51,25,49.0,3.17,1.56,0.16,0.32,0,0,Matches
1506,Javi López,es ESP,DF,Alavés,es La Liga,21,2002,32,25,2386,26.5,1,3,4,1,0,0,3,0,0.04,0.11,0.15,0.04,0.15,Matches,1506,es ESP,DF,21,2002,26.5,1,18,3,16.7,0.68,0.11,0.06,0.33,0,0,Matches
1507,Maxime Lopez,fr FRA,MF,Fiorentina,it Serie A,25,1997,19,7,800,8.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1507,fr FRA,MF,25,1997,8.9,0,4,2,50.0,0.45,0.23,0.00,0.00,0,0,Matches
1509,Pau López,es ESP,GK,Marseille,fr Ligue 1,28,1994,33,33,2939,32.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1509,es ESP,GK,28,1994,32.7,0,0,0,,0.00,0.00,,,0,0,Matches
1510,Unai López,es ESP,MF,Rayo Vallecano,es La Liga,27,1995,35,28,2108,23.4,1,2,3,1,0,0,8,0,0.04,0.09,0.13,0.04,0.13,Matches,1510,es ESP,MF,27,1995,23.4,1,32,5,15.6,1.37,0.21,0.03,0.20,0,0,Matches
1511,Dion Lopy,sn SEN,MF,Almería,es La Liga,21,2002,30,23,1916,21.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,1511,sn SEN,MF,21,2002,21.3,0,23,8,34.8,1.08,0.38,0.00,0.00,0,0,Matches
1512,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37,1986,31,31,2576,28.6,1,2,3,1,0,0,10,0,0.03,0.07,0.10,0.03,0.10,Matches,1512,fr FRA,MF,37,1986,28.6,1,27,6,22.2,0.94,0.21,0.04,0.17,0,0,Matches
1513,Jordan Lotomba,ch SUI,"DF,MF",Nice,fr Ligue 1,24,1998,28,21,1804,20.0,1,0,1,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches,1513,ch SUI,"DF,MF",24,1998,20.0,1,11,2,18.2,0.55,0.10,0.09,0.50,0,0,Matches
1515,Imran Louza,ma MAR,MF,Lorient,fr Ligue 1,24,1999,14,10,863,9.6,1,3,4,1,0,0,1,0,0.10,0.31,0.42,0.10,0.42,Matches,1515,ma MAR,MF,24,1999,9.6,1,22,5,22.7,2.29,0.52,0.05,0.20,0,0,Matches
1516,Matteo Lovato,it ITA,DF,Torino,it Serie A,23,2000,13,6,544,6.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1516,it ITA,DF,23,2000,6.0,0,1,0,0.0,0.17,0.00,0.00,,0,0,Matches
1517,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23,2000,13,11,947,10.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1517,it ITA,DF,23,2000,10.5,0,1,0,0.0,0.10,0.00,0.00,,0,0,Matches
1518,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,34,1989,10,8,718,8.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,1518,hr CRO,DF,34,1989,8.0,0,6,4,66.7,0.75,0.50,0.00,0.00,0,0,Matches
1519,Sandi Lovrić,si SVN,MF,Udinese,it Serie A,25,1998,29,21,1987,22.1,1,3,4,1,0,0,1,1,0.05,0.14,0.18,0.05,0.18,Matches,1519,si SVN,MF,25,1998,22.1,1,43,12,27.9,1.95,0.54,0.02,0.08,0,0,Matches
1520,Max Lowe,eng ENG,"MF,DF",Sheffield United,eng Premier League,26,1997,10,4,503,5.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1520,eng ENG,"MF,DF",26,1997,5.6,0,2,0,0.0,0.36,0.00,0.00,,0,0,Matches
1522,Anthony Lozano,hn HON,FW,Almería,es La Liga,30,1993,13,10,772,8.6,3,0,3,3,0,0,1,0,0.35,0.00,0.35,0.35,0.35,Matches,1522,hn HON,FW,30,1993,8.6,3,23,9,39.1,2.68,1.05,0.13,0.33,0,0,Matches
1523,Lucas,br BRA,DF,Cádiz,es La Liga,22,2001,28,15,1539,17.1,1,0,1,1,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches,1523,br BRA,DF,22,2001,17.1,1,11,4,36.4,0.64,0.23,0.09,0.25,0,0,Matches
1524,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,22,2000,37,30,2592,28.8,8,4,12,8,0,0,6,0,0.28,0.14,0.42,0.28,0.42,Matches,1524,it ITA,FW,22,2000,28.8,8,61,26,42.6,2.12,0.90,0.13,0.31,0,0,Matches
1525,Jhon Lucumí,co COL,DF,Bologna,it Serie A,25,1998,29,23,2217,24.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1525,co COL,DF,25,1998,24.6,0,11,2,18.2,0.45,0.08,0.00,0.00,0,0,Matches
1526,José Luis Gayà,es ESP,DF,Valencia,es La Liga,28,1995,24,22,1791,19.9,1,2,3,1,0,0,2,0,0.05,0.10,0.15,0.05,0.15,Matches,1526,es ESP,DF,28,1995,19.9,1,10,1,10.0,0.50,0.05,0.10,1.00,0,0,Matches
1527,José Luis Morales,es ESP,"FW,MF",Villarreal,es La Liga,36,1987,29,8,1048,11.6,7,0,7,7,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches,1527,es ESP,"FW,MF",36,1987,11.6,7,26,12,46.2,2.23,1.03,0.27,0.58,0,0,Matches
1529,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,25,1998,35,35,2993,33.3,9,5,14,5,4,4,12,0,0.27,0.15,0.42,0.15,0.30,Matches,1529,br BRA,MF,25,1998,33.3,9,48,17,35.4,1.44,0.51,0.19,0.53,4,4,Matches
1530,Romelu Lukaku,be BEL,FW,Roma,it Serie A,30,1993,32,30,2641,29.3,13,3,16,13,0,1,5,1,0.44,0.10,0.55,0.44,0.55,Matches,1530,be BEL,FW,30,1993,29.3,13,65,28,43.1,2.22,0.95,0.20,0.46,0,1,Matches
1531,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,20,2002,32,24,2191,24.3,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,1531,fr FRA,DF,20,2002,24.3,1,7,3,42.9,0.29,0.12,0.14,0.33,0,0,Matches
1532,Dodi Lukebakio,be BEL,"MF,FW",Sevilla,es La Liga,25,1997,23,12,1125,12.5,5,1,6,5,0,0,0,0,0.40,0.08,0.48,0.40,0.48,Matches,1532,be BEL,"MF,FW",25,1997,12.5,5,42,17,40.5,3.36,1.36,0.12,0.29,0,0,Matches
1533,Saša Lukić,rs SRB,MF,Fulham,eng Premier League,26,1996,24,13,1122,12.5,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,1533,rs SRB,MF,26,1996,12.5,1,13,3,23.1,1.04,0.24,0.08,0.33,0,0,Matches
1535,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24,1999,21,21,1890,21.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,1535,ua UKR,GK,24,1999,21.0,0,0,0,,0.00,0.00,,,0,0,Matches
1536,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26,1996,38,38,3406,37.8,1,1,2,1,0,0,4,0,0.03,0.03,0.05,0.03,0.05,Matches,1536,it ITA,DF,26,1996,37.8,1,19,3,15.8,0.50,0.08,0.05,0.33,0,0,Matches
1539,Zito Luvumbo,ao ANG,"MF,FW",Cagliari,it Serie A,21,2002,30,19,1946,21.6,4,5,9,4,0,0,5,0,0.18,0.23,0.42,0.18,0.42,Matches,1539,ao ANG,"MF,FW",21,2002,21.6,4,51,16,31.4,2.36,0.74,0.08,0.25,0,0,Matches
1540,Babis Lykogiannis,gr GRE,DF,Bologna,it Serie A,29,1993,22,10,904,10.0,2,1,3,2,0,0,2,0,0.20,0.10,0.30,0.20,0.30,Matches,1540,gr GRE,DF,29,1993,10.0,2,15,4,26.7,1.49,0.40,0.13,0.50,0,0,Matches
1541,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,24,1999,32,20,1797,20.0,0,3,3,0,0,0,6,0,0.00,0.15,0.15,0.00,0.15,Matches,1541,be BEL,MF,24,1999,20.0,0,12,2,16.7,0.60,0.10,0.00,0.00,0,0,Matches
1544,Ian Maatsen,nl NED,DF,Dortmund,de Bundesliga,21,2002,16,15,1264,14.0,2,2,4,2,0,0,5,0,0.14,0.14,0.28,0.14,0.28,Matches,1544,nl NED,DF,21,2002,14.0,2,11,4,36.4,0.78,0.28,0.18,0.50,0,0,Matches
1546,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,24,1998,33,31,2599,28.9,5,5,10,4,1,1,7,1,0.17,0.17,0.35,0.14,0.31,Matches,1546,ar ARG,MF,24,1998,28.9,5,44,9,20.5,1.52,0.31,0.11,0.56,1,1,Matches
1547,Deiver Machado,co COL,MF,Lens,fr Ligue 1,29,1993,19,13,1124,12.5,4,0,4,4,0,0,4,0,0.32,0.00,0.32,0.32,0.32,Matches,1547,co COL,MF,29,1993,12.5,4,16,8,50.0,1.28,0.64,0.25,0.50,0,0,Matches
1548,Darwin Machís,ve VEN,MF,Cádiz,es La Liga,30,1993,21,10,785,8.7,4,0,4,3,1,1,0,1,0.46,0.00,0.46,0.34,0.34,Matches,1548,ve VEN,MF,30,1993,8.7,4,21,10,47.6,2.41,1.15,0.19,0.40,1,1,Matches
1549,James Maddison,eng ENG,MF,Tottenham,eng Premier League,26,1996,28,26,2135,23.7,4,9,13,4,0,0,5,0,0.17,0.38,0.55,0.17,0.55,Matches,1549,eng ENG,MF,26,1996,23.7,4,57,22,38.6,2.40,0.93,0.07,0.18,0,0,Matches
1550,Noni Madueke,eng ENG,MF,Chelsea,eng Premier League,21,2002,23,13,1053,11.7,5,2,7,4,1,1,2,0,0.43,0.17,0.60,0.34,0.51,Matches,1550,eng ENG,MF,21,2002,11.7,5,32,13,40.6,2.74,1.11,0.16,0.38,1,1,Matches
1551,Pablo Maffeo,es ESP,"DF,MF",Mallorca,es La Liga,26,1997,22,17,1454,16.2,1,2,3,1,0,0,3,1,0.06,0.12,0.19,0.06,0.19,Matches,1551,es ESP,"DF,MF",26,1997,16.2,1,11,4,36.4,0.68,0.25,0.09,0.25,0,0,Matches
1552,Gabriel Magalhães,br BRA,DF,Arsenal,eng Premier League,25,1997,36,34,3044,33.8,4,0,4,4,0,0,4,0,0.12,0.00,0.12,0.12,0.12,Matches,1552,br BRA,DF,25,1997,33.8,4,31,10,32.3,0.92,0.30,0.13,0.40,0,0,Matches
1553,Soungoutou Magassa,fr FRA,DF,Monaco,fr Ligue 1,19,2003,21,15,1346,15.0,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,1553,fr FRA,DF,19,2003,15.0,0,8,3,37.5,0.53,0.20,0.00,0.00,0,0,Matches
1554,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25,1998,27,20,1800,20.0,4,2,6,4,0,0,9,1,0.20,0.10,0.30,0.20,0.30,Matches,1554,it ITA,MF,25,1998,20.0,4,23,10,43.5,1.15,0.50,0.17,0.40,0,0,Matches
1555,Matej Maglica,hr CRO,DF,Darmstadt 98,de Bundesliga,24,1998,26,21,1698,18.9,1,0,1,1,0,0,7,2,0.05,0.00,0.05,0.05,0.05,Matches,1555,hr CRO,DF,24,1998,18.9,1,10,2,20.0,0.53,0.11,0.10,0.50,0,0,Matches
1556,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27,1995,33,27,2444,27.2,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,1556,it ITA,DF,27,1995,27.2,0,11,2,18.2,0.41,0.07,0.00,0.00,0,0,Matches
1557,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,25,1998,33,30,2340,26.0,2,0,2,2,0,0,6,0,0.08,0.00,0.08,0.08,0.08,Matches,1557,fr FRA,MF,25,1998,26.0,2,36,11,30.6,1.38,0.42,0.06,0.18,0,0,Matches
1558,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,26,1997,31,17,1687,18.7,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,1558,fr FRA,MF,26,1997,18.7,1,14,6,42.9,0.75,0.32,0.07,0.17,0,0,Matches
1559,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,23,1999,29,14,1438,16.0,5,2,7,5,0,0,5,0,0.31,0.13,0.44,0.31,0.44,Matches,1559,cm CMR,"FW,MF",23,1999,16.0,5,41,14,34.1,2.57,0.88,0.12,0.36,0,0,Matches
1560,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30,1993,22,18,1653,18.4,2,2,4,2,0,0,4,0,0.11,0.11,0.22,0.11,0.22,Matches,1560,eng ENG,DF,30,1993,18.4,2,20,3,15.0,1.09,0.16,0.10,0.67,0,0,Matches
1563,Arne Maier,de GER,"MF,FW",Augsburg,de Bundesliga,24,1999,22,10,1003,11.1,2,4,6,2,0,0,0,0,0.18,0.36,0.54,0.18,0.54,Matches,1563,de GER,"MF,FW",24,1999,11.1,2,22,5,22.7,1.97,0.45,0.09,0.40,0,0,Matches
1565,Mike Maignan,fr FRA,GK,Milan,it Serie A,28,1995,29,29,2609,29.0,0,1,1,0,0,0,1,1,0.00,0.03,0.03,0.00,0.03,Matches,1565,fr FRA,GK,28,1995,29.0,0,0,0,,0.00,0.00,,,0,0,Matches
1566,Linton Maina,de GER,MF,Köln,de Bundesliga,24,1999,31,21,1901,21.1,1,3,4,1,0,0,4,0,0.05,0.14,0.19,0.05,0.19,Matches,1566,de GER,MF,24,1999,21.1,1,33,11,33.3,1.56,0.52,0.03,0.09,0,0,Matches
1567,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,28,1994,34,34,3060,34.0,2,0,2,2,0,0,1,0,0.06,0.00,0.06,0.06,0.06,Matches,1567,de GER,DF,28,1994,34.0,2,29,7,24.1,0.85,0.21,0.07,0.29,0,0,Matches
1568,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,18,2005,24,24,1924,21.4,3,1,4,3,0,0,3,0,0.14,0.05,0.19,0.14,0.19,Matches,1568,eng ENG,MF,18,2005,21.4,3,11,5,45.5,0.51,0.23,0.27,0.60,0,0,Matches
1569,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,25,1997,23,16,1432,15.9,1,4,5,0,1,1,1,1,0.06,0.25,0.31,0.00,0.25,Matches,1569,eng ENG,"DF,MF",25,1997,15.9,1,18,6,33.3,1.13,0.38,0.06,0.17,1,1,Matches
1570,Radosław Majecki,pl POL,GK,Monaco,fr Ligue 1,23,1999,12,12,1080,12.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1570,pl POL,GK,23,1999,12.0,0,0,0,,0.00,0.00,,,0,0,Matches
1571,Lovro Majer,hr CRO,"MF,FW",Wolfsburg,de Bundesliga,25,1998,32,25,2106,23.4,5,5,10,3,2,2,5,0,0.21,0.21,0.43,0.13,0.34,Matches,1571,hr CRO,"MF,FW",25,1998,23.4,5,37,12,32.4,1.58,0.51,0.14,0.42,2,2,Matches
1574,Jordy Makengo,fr FRA,"DF,MF",Freiburg,de Bundesliga,21,2001,20,10,1026,11.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1574,fr FRA,"DF,MF",21,2001,11.4,0,3,0,0.0,0.26,0.00,0.00,,0,0,Matches
1575,Antoine Makoumbou,cg CGO,MF,Cagliari,it Serie A,25,1998,32,32,2702,30.0,1,0,1,1,0,0,5,2,0.03,0.00,0.03,0.03,0.03,Matches,1575,cg CGO,MF,25,1998,30.0,1,8,2,25.0,0.27,0.07,0.13,0.50,0,0,Matches
1576,Nemanja Maksimović,rs SRB,MF,Getafe,es La Liga,28,1995,37,37,3265,36.3,4,0,4,4,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches,1576,rs SRB,MF,28,1995,36.3,4,34,15,44.1,0.94,0.41,0.12,0.27,0,0,Matches
1577,Julián Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,22,2001,11,6,602,6.7,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,1577,ar ARG,DF,22,2001,6.7,1,3,1,33.3,0.45,0.15,0.33,1.00,0,0,Matches
1580,Youssef Maleh,ma MAR,MF,Empoli,it Serie A,24,1998,34,30,2602,28.9,0,1,1,0,0,0,11,0,0.00,0.03,0.03,0.00,0.03,Matches,1580,ma MAR,MF,24,1998,28.9,0,18,2,11.1,0.62,0.07,0.00,0.00,0,0,Matches
1581,Donyell Malen,nl NED,"MF,FW",Dortmund,de Bundesliga,24,1999,27,21,1781,19.8,13,1,14,13,0,0,5,0,0.66,0.05,0.71,0.66,0.71,Matches,1581,nl NED,"MF,FW",24,1999,19.8,13,72,36,50.0,3.64,1.82,0.18,0.36,0,0,Matches
1582,Ruslan Malinovskyi,ua UKR,"MF,FW",Genoa,it Serie A,30,1993,28,18,1544,17.2,4,1,5,4,0,0,7,0,0.23,0.06,0.29,0.23,0.29,Matches,1582,ua UKR,"MF,FW",30,1993,17.2,4,39,13,33.3,2.27,0.76,0.10,0.31,0,0,Matches
1583,Lennard Maloney,us USA,MF,Heidenheim,de Bundesliga,23,1999,29,27,2284,25.4,1,1,2,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,Matches,1583,us USA,MF,23,1999,25.4,1,14,3,21.4,0.55,0.12,0.07,0.33,0,0,Matches
